ID                                       0xc912
Delivery_person_ID               LUDHRES15DEL01
Delivery_person_Age                   22.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   30.899584
Restaurant_longitude                  75.809346
Delivery_location_latitude            30.909584
Delivery_location_longitude           75.819346
Order_Date                           15-02-2022
Time_Orderd                                8:45
Time_Order_picked                          8:50
Weather conditions                          Fog
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      16.000000
Name: 14391, dtype: object
