ID                                    0xe1be
Delivery_person_ID             KOCRES01DEL02
Delivery_person_Age                27.000000
Delivery_person_Ratings             5.000000
Restaurant_latitude                 9.979363
Restaurant_longitude               76.285001
Delivery_location_latitude         10.059363
Delivery_location_longitude        76.365001
Order_Date                        16-02-2022
Time_Orderd                            18:50
Time_Order_picked                      18:60
Weather conditions                    Cloudy
Road_traffic_density                  Medium
Vehicle_condition                          2
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   36.000000
Name: 33747, dtype: object
