ID                                       0x7d3a
Delivery_person_ID                JAPRES09DEL02
Delivery_person_Age                   37.000000
Delivery_person_Ratings                3.800000
Restaurant_latitude                   26.911378
Restaurant_longitude                  75.789034
Delivery_location_latitude            27.041378
Delivery_location_longitude           75.919034
Order_Date                           12-03-2022
Time_Orderd                               17:20
Time_Order_picked                         17:30
Weather conditions                        Windy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      36.000000
Name: 25273, dtype: object
