ID                                    0xcb87
Delivery_person_ID             BHPRES12DEL01
Delivery_person_Age                    37.00
Delivery_person_Ratings                 4.00
Restaurant_latitude                     0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.11
Delivery_location_longitude             0.11
Order_Date                        14-02-2022
Time_Orderd                            19:15
Time_Order_picked                      19:25
Weather conditions                     Windy
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                     1.00
Festival                                  No
City                           Metropolitian
Time_taken (min)                       38.00
Name: 29739, dtype: object
