ID                                     0xdfbf
Delivery_person_ID             AURGRES16DEL02
Delivery_person_Age                     30.00
Delivery_person_Ratings                  4.50
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.13
Delivery_location_longitude              0.13
Order_Date                         18-02-2022
Time_Orderd                             23:10
Time_Order_picked                       23:20
Weather conditions                     Stormy
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                      0.00
Festival                                   No
City                            Metropolitian
Time_taken (min)                        29.00
Name: 33903, dtype: object
