ID                                       0x5d8f
Delivery_person_ID              COIMBRES13DEL01
Delivery_person_Age                   22.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   11.003669
Restaurant_longitude                  76.976494
Delivery_location_latitude            11.113669
Delivery_location_longitude           77.086494
Order_Date                           18-03-2022
Time_Orderd                               23:45
Time_Order_picked                         23:55
Weather conditions                       Stormy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                    NaN
City                              Metropolitian
Time_taken (min)                      12.000000
Name: 25767, dtype: object
