ID                                     0x3abe
Delivery_person_ID             INDORES02DEL03
Delivery_person_Age                 32.000000
Delivery_person_Ratings              3.600000
Restaurant_latitude                 22.651847
Restaurant_longitude                75.881991
Delivery_location_latitude          22.741847
Delivery_location_longitude         75.971991
Order_Date                         04-03-2022
Time_Orderd                             21:60
Time_Order_picked                       22:10
Weather conditions                      Windy
Road_traffic_density                      Jam
Vehicle_condition                           2
Type_of_order                          Buffet
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    34.000000
Name: 17476, dtype: object
