ID                                    0xc3bb
Delivery_person_ID             KOLRES04DEL02
Delivery_person_Age                31.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                22.538731
Restaurant_longitude               88.364878
Delivery_location_latitude         22.588731
Delivery_location_longitude        88.414878
Order_Date                        15-02-2022
Time_Orderd                            19:15
Time_Order_picked                      19:25
Weather conditions                     Sunny
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   17.000000
Name: 11686, dtype: object
