ID                                      0x652f
Delivery_person_ID             BANGRES010DEL02
Delivery_person_Age                  24.000000
Delivery_person_Ratings               4.600000
Restaurant_latitude                  12.933298
Restaurant_longitude                 77.614293
Delivery_location_latitude           12.953298
Delivery_location_longitude          77.634293
Order_Date                          01-04-2022
Time_Orderd                               8:45
Time_Order_picked                         8:50
Weather conditions                         Fog
Road_traffic_density                       Low
Vehicle_condition                            0
Type_of_order                           Buffet
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     24.000000
Name: 23464, dtype: object
