ID                                     0x73dd
Delivery_person_ID             CHENRES08DEL03
Delivery_person_Age                 34.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 13.022394
Restaurant_longitude                80.242439
Delivery_location_latitude          13.052394
Delivery_location_longitude         80.272439
Order_Date                         03-03-2022
Time_Orderd                             19:55
Time_Order_picked                       19:60
Weather conditions                        Fog
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    26.000000
Name: 21244, dtype: object
