ID                                       0xf40
Delivery_person_ID             COIMBRES03DEL03
Delivery_person_Age                  29.000000
Delivery_person_Ratings               3.900000
Restaurant_latitude                  11.025083
Restaurant_longitude                 77.015393
Delivery_location_latitude           11.085083
Delivery_location_longitude          77.075393
Order_Date                          30-03-2022
Time_Orderd                              21:15
Time_Order_picked                        21:30
Weather conditions                       Sunny
Road_traffic_density                       Jam
Vehicle_condition                            0
Type_of_order                           Drinks
Type_of_vehicle                     motorcycle
multiple_deliveries                   2.000000
Festival                                    No
City                                Semi-Urban
Time_taken (min)                     49.000000
Name: 17846, dtype: object
