ID                                       0xc3e4
Delivery_person_ID                GOARES08DEL03
Delivery_person_Age                   37.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   15.556561
Restaurant_longitude                  73.763633
Delivery_location_latitude            15.586561
Delivery_location_longitude           73.793633
Order_Date                           13-02-2022
Time_Orderd                               23:60
Time_Order_picked                         24:15
Weather conditions                   Sandstorms
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      23.000000
Name: 44077, dtype: object
