ID                                    0xc6a1
Delivery_person_ID             KNPRES14DEL03
Delivery_person_Age                20.000000
Delivery_person_Ratings             2.900000
Restaurant_latitude                26.463504
Restaurant_longitude               80.372929
Delivery_location_latitude         26.603504
Delivery_location_longitude        80.512929
Order_Date                        18-02-2022
Time_Orderd                            23:30
Time_Order_picked                      23:40
Weather conditions                     Sunny
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   34.000000
Name: 15926, dtype: object
