ID                                       0xaf35
Delivery_person_ID               CHENRES09DEL03
Delivery_person_Age                   29.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   13.044694
Restaurant_longitude                  80.261470
Delivery_location_latitude            13.104694
Delivery_location_longitude           80.321470
Order_Date                           13-03-2022
Time_Orderd                               19:50
Time_Order_picked                         19:60
Weather conditions                          Fog
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      22.000000
Name: 15678, dtype: object
