ID                                    0xda3b
Delivery_person_ID             BHPRES05DEL03
Delivery_person_Age                31.000000
Delivery_person_Ratings             4.500000
Restaurant_latitude                23.214459
Restaurant_longitude               77.434976
Delivery_location_latitude         23.244459
Delivery_location_longitude        77.464976
Order_Date                        15-02-2022
Time_Orderd                            21:55
Time_Order_picked                      22:10
Weather conditions                     Sunny
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   22.000000
Name: 25721, dtype: object
