ID                                       0x9eeb
Delivery_person_ID             RANCHIRES13DEL02
Delivery_person_Age                   22.000000
Delivery_person_Ratings                4.300000
Restaurant_latitude                   23.374989
Restaurant_longitude                  85.335486
Delivery_location_latitude            23.424989
Delivery_location_longitude           85.385486
Order_Date                           17-03-2022
Time_Orderd                               23:30
Time_Order_picked                         23:35
Weather conditions                       Stormy
Road_traffic_density                        Low
Vehicle_condition                             0
Type_of_order                             Snack
Type_of_vehicle                      motorcycle
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      18.000000
Name: 38144, dtype: object
