ID                                       0x6f1d
Delivery_person_ID                HYDRES15DEL03
Delivery_person_Age                   34.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   17.459710
Restaurant_longitude                  78.368855
Delivery_location_latitude            17.549710
Delivery_location_longitude           78.458855
Order_Date                           31-03-2022
Time_Orderd                               21:10
Time_Order_picked                         21:20
Weather conditions                        Sunny
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                        NaN
Time_taken (min)                      19.000000
Name: 36869, dtype: object
