ID                                     0xb43b
Delivery_person_ID             SURRES010DEL02
Delivery_person_Age                 30.000000
Delivery_person_Ratings              4.200000
Restaurant_latitude                 21.171060
Restaurant_longitude                72.789292
Delivery_location_latitude          21.301060
Delivery_location_longitude         72.919292
Order_Date                         27-03-2022
Time_Orderd                             21:60
Time_Order_picked                       22:10
Weather conditions                 Sandstorms
Road_traffic_density                      Jam
Vehicle_condition                           1
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    43.000000
Name: 8465, dtype: object
