ID                                    0x2aa8
Delivery_person_ID             JAPRES13DEL03
Delivery_person_Age                39.000000
Delivery_person_Ratings             4.100000
Restaurant_latitude                26.846156
Restaurant_longitude               75.802300
Delivery_location_latitude         26.986156
Delivery_location_longitude        75.942300
Order_Date                        31-03-2022
Time_Orderd                            20:40
Time_Order_picked                      20:50
Weather conditions                    Stormy
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   39.000000
Name: 3339, dtype: object
