ID                                       0x7da0
Delivery_person_ID             RANCHIRES20DEL02
Delivery_person_Age                   38.000000
Delivery_person_Ratings                4.100000
Restaurant_latitude                   23.399250
Restaurant_longitude                  85.390464
Delivery_location_latitude            23.479250
Delivery_location_longitude           85.470464
Order_Date                           04-04-2022
Time_Orderd                               18:15
Time_Order_picked                         18:20
Weather conditions                   Sandstorms
Road_traffic_density                     Medium
Vehicle_condition                             0
Type_of_order                              Meal
Type_of_vehicle                      motorcycle
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      47.000000
Name: 22859, dtype: object
