ID                                       0x2ace
Delivery_person_ID                VADRES03DEL03
Delivery_person_Age                       22.00
Delivery_person_Ratings                    4.90
Restaurant_latitude                       22.32
Restaurant_longitude                      73.17
Delivery_location_latitude                22.38
Delivery_location_longitude               73.23
Order_Date                           21-03-2022
Time_Orderd                               23:30
Time_Order_picked                         23:40
Weather conditions                       Stormy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                        0.00
Festival                                     No
City                                      Urban
Time_taken (min)                          12.00
Name: 26178, dtype: object
