ID                                       0x7ca3
Delivery_person_ID                MYSRES08DEL01
Delivery_person_Age                   29.000000
Delivery_person_Ratings                2.900000
Restaurant_latitude                   12.297954
Restaurant_longitude                  76.665169
Delivery_location_latitude            12.367954
Delivery_location_longitude           76.735169
Order_Date                           12-03-2022
Time_Orderd                               22:40
Time_Order_picked                         22:45
Weather conditions                        Sunny
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      32.000000
Name: 43823, dtype: object
