ID                                     0xca06
Delivery_person_ID             LUDHRES06DEL01
Delivery_person_Age                 33.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 30.895204
Restaurant_longitude                75.822103
Delivery_location_latitude          30.905204
Delivery_location_longitude         75.832103
Order_Date                         15-02-2022
Time_Orderd                              8:60
Time_Order_picked                        9:15
Weather conditions                      Windy
Road_traffic_density                      Low
Vehicle_condition                           1
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    23.000000
Name: 23819, dtype: object
