ID                                    0xbf30
Delivery_person_ID             DEHRES08DEL03
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                30.359722
Restaurant_longitude               78.067079
Delivery_location_latitude         30.449722
Delivery_location_longitude        78.157079
Order_Date                        18-02-2022
Time_Orderd                              NaN
Time_Order_picked                      22:60
Weather conditions                     Sunny
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   25.000000
Name: 25873, dtype: object
