ID                                       0xaf47
Delivery_person_ID               PUNERES14DEL02
Delivery_person_Age                   38.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   18.516216
Restaurant_longitude                  73.842527
Delivery_location_latitude            18.536216
Delivery_location_longitude           73.862527
Order_Date                           30-03-2022
Time_Orderd                               11:45
Time_Order_picked                         11:55
Weather conditions                        Windy
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                        NaN
Time_taken (min)                      28.000000
Name: 6300, dtype: object
