ID                                       0x8cfe
Delivery_person_ID                VADRES09DEL02
Delivery_person_Age                       31.00
Delivery_person_Ratings                    4.90
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.02
Delivery_location_longitude                0.02
Order_Date                           11-03-2022
Time_Orderd                               11:60
Time_Order_picked                         12:05
Weather conditions                   Sandstorms
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                        1.00
Festival                                     No
City                                      Urban
Time_taken (min)                          30.00
Name: 26042, dtype: object
