ID                                     0xc0b5
Delivery_person_ID             AURGRES17DEL02
Delivery_person_Age                 26.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                -19.876994
Restaurant_longitude                75.372353
Delivery_location_latitude          20.006994
Delivery_location_longitude         75.502353
Order_Date                         16-02-2022
Time_Orderd                             21:35
Time_Order_picked                       21:45
Weather conditions                      Windy
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    25.000000
Name: 18690, dtype: object
