ID                                     0xd5d2
Delivery_person_ID             AURGRES11DEL03
Delivery_person_Age                     30.00
Delivery_person_Ratings                  4.30
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.09
Delivery_location_longitude              0.09
Order_Date                         16-02-2022
Time_Orderd                             19:60
Time_Order_picked                       20:10
Weather conditions                        Fog
Road_traffic_density                      Jam
Vehicle_condition                           2
Type_of_order                            Meal
Type_of_vehicle                       scooter
multiple_deliveries                      1.00
Festival                                   No
City                            Metropolitian
Time_taken (min)                        40.00
Name: 31231, dtype: object
