ID                                     0x5cad
Delivery_person_ID             BANGRES01DEL01
Delivery_person_Age                 35.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 12.933284
Restaurant_longitude                77.615428
Delivery_location_latitude          12.943284
Delivery_location_longitude         77.625428
Order_Date                         24-03-2022
Time_Orderd                              8:60
Time_Order_picked                        9:15
Weather conditions                 Sandstorms
Road_traffic_density                      Low
Vehicle_condition                           1
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    20.000000
Name: 32057, dtype: object
