ID                                    0x6ce8
Delivery_person_ID             HYDRES08DEL01
Delivery_person_Age                25.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                17.438263
Restaurant_longitude               78.397865
Delivery_location_latitude         17.548263
Delivery_location_longitude        78.507865
Order_Date                        12-03-2022
Time_Orderd                            23:45
Time_Order_picked                      23:60
Weather conditions                    Stormy
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                                     NaN
Time_taken (min)                   12.000000
Name: 33947, dtype: object
