ID                                       0x90e7
Delivery_person_ID             RANCHIRES09DEL01
Delivery_person_Age                   39.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   23.351058
Restaurant_longitude                  85.325731
Delivery_location_latitude            23.361058
Delivery_location_longitude           85.335731
Order_Date                           17-03-2022
Time_Orderd                               11:35
Time_Order_picked                         11:40
Weather conditions                   Sandstorms
Road_traffic_density                       High
Vehicle_condition                             1
Type_of_order                            Drinks
Type_of_vehicle                      motorcycle
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      28.000000
Name: 17499, dtype: object
