ID                                     0x93df
Delivery_person_ID             PUNERES16DEL02
Delivery_person_Age                 23.000000
Delivery_person_Ratings              4.200000
Restaurant_latitude                 18.536718
Restaurant_longitude                73.830327
Delivery_location_latitude          18.616719
Delivery_location_longitude         73.910327
Order_Date                         31-03-2022
Time_Orderd                             19:50
Time_Order_picked                       19:55
Weather conditions                        Fog
Road_traffic_density                      Jam
Vehicle_condition                           2
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    38.000000
Name: 33145, dtype: object
