ID                                    0x4d8d
Delivery_person_ID             JAPRES20DEL01
Delivery_person_Age                39.000000
Delivery_person_Ratings             3.500000
Restaurant_latitude                26.956431
Restaurant_longitude               75.776649
Delivery_location_latitude         27.066431
Delivery_location_longitude        75.886649
Order_Date                        06-04-2022
Time_Orderd                            19:40
Time_Order_picked                      19:50
Weather conditions                    Stormy
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   41.000000
Name: 8143, dtype: object
