ID                                      0xbe4e
Delivery_person_ID             COIMBRES16DEL02
Delivery_person_Age                  31.000000
Delivery_person_Ratings               4.100000
Restaurant_latitude                  11.010375
Restaurant_longitude                 76.952950
Delivery_location_latitude           11.030375
Delivery_location_longitude          76.972950
Order_Date                          03-04-2022
Time_Orderd                              11:35
Time_Order_picked                        11:50
Weather conditions                       Windy
Road_traffic_density                      High
Vehicle_condition                            0
Type_of_order                           Drinks
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     40.000000
Name: 27996, dtype: object
