ID                                       0xe0c8
Delivery_person_ID                KOLRES12DEL02
Delivery_person_Age                   34.000000
Delivery_person_Ratings                4.500000
Restaurant_latitude                   22.551084
Restaurant_longitude                  88.354127
Delivery_location_latitude            22.571084
Delivery_location_longitude           88.374127
Order_Date                           11-02-2022
Time_Orderd                                8:30
Time_Order_picked                          8:35
Weather conditions                        Windy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      23.000000
Name: 12275, dtype: object
