ID                                     0xcc95
Delivery_person_ID             AURGRES20DEL02
Delivery_person_Age                     22.00
Delivery_person_Ratings                  4.80
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.05
Delivery_location_longitude              0.05
Order_Date                         17-02-2022
Time_Orderd                             20:20
Time_Order_picked                       20:35
Weather conditions                      Sunny
Road_traffic_density                      Jam
Vehicle_condition                           2
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                      1.00
Festival                                   No
City                            Metropolitian
Time_taken (min)                        17.00
Name: 22164, dtype: object
