ID                                      0x417a
Delivery_person_ID             COIMBRES07DEL01
Delivery_person_Age                  25.000000
Delivery_person_Ratings               3.500000
Restaurant_latitude                  10.961850
Restaurant_longitude                 76.971082
Delivery_location_latitude           11.031850
Delivery_location_longitude          77.041082
Order_Date                          04-03-2022
Time_Orderd                              22:10
Time_Order_picked                        22:25
Weather conditions                       Sunny
Road_traffic_density                       Low
Vehicle_condition                            1
Type_of_order                           Buffet
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     41.000000
Name: 35617, dtype: object
