ID                                       0xbe9e
Delivery_person_ID              COIMBRES01DEL03
Delivery_person_Age                   33.000000
Delivery_person_Ratings                3.500000
Restaurant_latitude                   11.016298
Restaurant_longitude                  76.972076
Delivery_location_latitude            11.106298
Delivery_location_longitude           77.062076
Order_Date                           20-03-2022
Time_Orderd                               19:30
Time_Order_picked                         19:45
Weather conditions                        Windy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      43.000000
Name: 3100, dtype: object
