ID                                       0x5d0d
Delivery_person_ID             RANCHIRES02DEL01
Delivery_person_Age                       32.00
Delivery_person_Ratings                    4.50
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.01
Delivery_location_longitude                0.01
Order_Date                           30-03-2022
Time_Orderd                                8:20
Time_Order_picked                          8:30
Weather conditions                   Sandstorms
Road_traffic_density                        Low
Vehicle_condition                             0
Type_of_order                            Drinks
Type_of_vehicle                      motorcycle
multiple_deliveries                        1.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          28.00
Name: 37109, dtype: object
