ID                                    0x5ef8
Delivery_person_ID             JAPRES11DEL01
Delivery_person_Age                25.000000
Delivery_person_Ratings             2.900000
Restaurant_latitude                26.902940
Restaurant_longitude               75.793007
Delivery_location_latitude         26.972940
Delivery_location_longitude        75.863007
Order_Date                        06-04-2022
Time_Orderd                            22:15
Time_Order_picked                      22:25
Weather conditions                     Sunny
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                 2.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   40.000000
Name: 42679, dtype: object
