ID                                       0xa97e
Delivery_person_ID               PUNERES16DEL02
Delivery_person_Age                   39.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   18.536718
Restaurant_longitude                  73.830327
Delivery_location_latitude            18.586718
Delivery_location_longitude           73.880327
Order_Date                           01-03-2022
Time_Orderd                               20:20
Time_Order_picked                         20:30
Weather conditions                       Stormy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      25.000000
Name: 6539, dtype: object
