ID                                       0xe21f
Delivery_person_ID                KOLRES11DEL03
Delivery_person_Age                   28.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   22.577821
Restaurant_longitude                  88.400581
Delivery_location_latitude            22.667821
Delivery_location_longitude           88.490581
Order_Date                           12-02-2022
Time_Orderd                               22:40
Time_Order_picked                         22:45
Weather conditions                   Sandstorms
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      13.000000
Name: 5391, dtype: object
