ID                                     0xba6a
Delivery_person_ID             CHENRES20DEL02
Delivery_person_Age                 29.000000
Delivery_person_Ratings              4.500000
Restaurant_latitude                 12.975996
Restaurant_longitude                80.221898
Delivery_location_latitude          13.025996
Delivery_location_longitude         80.271898
Order_Date                         21-03-2022
Time_Orderd                             21:15
Time_Order_picked                       21:20
Weather conditions                      Sunny
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                  Yes
City                                    Urban
Time_taken (min)                    53.000000
Name: 34952, dtype: object
