ID                                       0xc0cb
Delivery_person_ID                KOCRES06DEL03
Delivery_person_Age                   37.000000
Delivery_person_Ratings                5.000000
Restaurant_latitude                   -9.982834
Restaurant_longitude                  76.283268
Delivery_location_latitude            10.042834
Delivery_location_longitude           76.343268
Order_Date                           13-02-2022
Time_Orderd                               18:20
Time_Order_picked                         18:25
Weather conditions                        Windy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      29.000000
Name: 42552, dtype: object
