ID                                       0xc3ef
Delivery_person_ID                BHPRES09DEL01
Delivery_person_Age                       23.00
Delivery_person_Ratings                    5.00
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.01
Delivery_location_longitude                0.01
Order_Date                           11-02-2022
Time_Orderd                                8:55
Time_Order_picked                          9:05
Weather conditions                        Sunny
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                        1.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          15.00
Name: 42080, dtype: object
