ID                                       0xc180
Delivery_person_ID                BHPRES04DEL03
Delivery_person_Age                   28.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   23.184992
Restaurant_longitude                  77.417227
Delivery_location_latitude            23.214992
Delivery_location_longitude           77.447227
Order_Date                           11-02-2022
Time_Orderd                               17:60
Time_Order_picked                         18:15
Weather conditions                          Fog
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      18.000000
Name: 40094, dtype: object
