ID                                     0x8fb
Delivery_person_ID             JAPRES04DEL03
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                26.902328
Restaurant_longitude               75.794257
Delivery_location_latitude         27.042328
Delivery_location_longitude        75.934257
Order_Date                        27-03-2022
Time_Orderd                              NaN
Time_Order_picked                      18:10
Weather conditions                Sandstorms
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   20.000000
Name: 37482, dtype: object
