ID                                    0xdfaa
Delivery_person_ID             DEHRES16DEL01
Delivery_person_Age                35.000000
Delivery_person_Ratings             4.900000
Restaurant_latitude                30.342509
Restaurant_longitude               78.061187
Delivery_location_latitude         30.352509
Delivery_location_longitude        78.071187
Order_Date                        15-02-2022
Time_Orderd                             8:10
Time_Order_picked                       8:20
Weather conditions                     Sunny
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                      NaN
Festival                                  No
City                           Metropolitian
Time_taken (min)                   13.000000
Name: 44481, dtype: object
