ID                                    0x2ebd
Delivery_person_ID             VADRES03DEL02
Delivery_person_Age                    35.00
Delivery_person_Ratings                 3.50
Restaurant_latitude                    22.32
Restaurant_longitude                   73.17
Delivery_location_latitude             22.40
Delivery_location_longitude            73.25
Order_Date                        06-04-2022
Time_Orderd                            18:20
Time_Order_picked                      18:25
Weather conditions                Sandstorms
Road_traffic_density                  Medium
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                     1.00
Festival                                  No
City                           Metropolitian
Time_taken (min)                       36.00
Name: 45451, dtype: object
