ID                                     0x5ed5
Delivery_person_ID             BANGRES20DEL02
Delivery_person_Age                 21.000000
Delivery_person_Ratings              4.400000
Restaurant_latitude                 12.972161
Restaurant_longitude                77.596014
Delivery_location_latitude          13.102161
Delivery_location_longitude         77.726014
Order_Date                         10-03-2022
Time_Orderd                             17:55
Time_Order_picked                       18:05
Weather conditions                        Fog
Road_traffic_density                   Medium
Vehicle_condition                           2
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    32.000000
Name: 19479, dtype: object
