ID                                       0xad2a
Delivery_person_ID             RANCHIRES19DEL01
Delivery_person_Age                   37.000000
Delivery_person_Ratings                4.000000
Restaurant_latitude                   23.333017
Restaurant_longitude                  85.317200
Delivery_location_latitude            23.343017
Delivery_location_longitude           85.327200
Order_Date                           09-03-2022
Time_Orderd                               11:55
Time_Order_picked                         11:60
Weather conditions                       Cloudy
Road_traffic_density                       High
Vehicle_condition                             1
Type_of_order                            Buffet
Type_of_vehicle                      motorcycle
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      38.000000
Name: 27945, dtype: object
