ID                                    0xcb4a
Delivery_person_ID             KNPRES03DEL02
Delivery_person_Age                35.000000
Delivery_person_Ratings             5.000000
Restaurant_latitude                26.469003
Restaurant_longitude               80.316344
Delivery_location_latitude         26.489003
Delivery_location_longitude        80.336344
Order_Date                        15-02-2022
Time_Orderd                             8:60
Time_Order_picked                       9:15
Weather conditions                     Sunny
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   11.000000
Name: 11871, dtype: object
