ID                                       0x33ed
Delivery_person_ID             RANCHIRES14DEL01
Delivery_person_Age                       20.00
Delivery_person_Ratings                    5.00
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.01
Delivery_location_longitude                0.01
Order_Date                           07-03-2022
Time_Orderd                               10:60
Time_Order_picked                         11:05
Weather conditions                   Sandstorms
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                         scooter
multiple_deliveries                        0.00
Festival                                     No
City                                      Urban
Time_taken (min)                          12.00
Name: 20558, dtype: object
