ID                                       0x8fa9
Delivery_person_ID               BANGRES18DEL01
Delivery_person_Age                   22.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   12.913041
Restaurant_longitude                  77.683237
Delivery_location_latitude            12.923041
Delivery_location_longitude           77.693237
Order_Date                           26-03-2022
Time_Orderd                                8:55
Time_Order_picked                          8:60
Weather conditions                        Windy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      10.000000
Name: 45140, dtype: object
