ID                                     0xaa61
Delivery_person_ID             INDORES05DEL01
Delivery_person_Age                 26.000000
Delivery_person_Ratings              3.200000
Restaurant_latitude                 22.727021
Restaurant_longitude                75.884167
Delivery_location_latitude          22.837021
Delivery_location_longitude         75.994167
Order_Date                         18-03-2022
Time_Orderd                             22:35
Time_Order_picked                       22:45
Weather conditions                      Sunny
Road_traffic_density                      Low
Vehicle_condition                           2
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  2.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    42.000000
Name: 20715, dtype: object
