ID                                       0xce79
Delivery_person_ID                KNPRES11DEL03
Delivery_person_Age                   27.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   26.474986
Restaurant_longitude                  80.342796
Delivery_location_latitude            26.614986
Delivery_location_longitude           80.482796
Order_Date                           16-02-2022
Time_Orderd                               21:45
Time_Order_picked                         21:60
Weather conditions                        Windy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      15.000000
Name: 13031, dtype: object
