ID                                      0xbe45
Delivery_person_ID             COIMBRES08DEL02
Delivery_person_Age                  21.000000
Delivery_person_Ratings               4.700000
Restaurant_latitude                  11.001852
Restaurant_longitude                 76.976268
Delivery_location_latitude           11.051852
Delivery_location_longitude          77.026268
Order_Date                          30-03-2022
Time_Orderd                              17:10
Time_Order_picked                        17:15
Weather conditions                       Windy
Road_traffic_density                    Medium
Vehicle_condition                            0
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     11.000000
Name: 25060, dtype: object
