ID                                       0xdb78
Delivery_person_ID               KOLRES010DEL02
Delivery_person_Age                   36.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   22.538999
Restaurant_longitude                  88.322337
Delivery_location_latitude            22.668999
Delivery_location_longitude           88.452337
Order_Date                           14-02-2022
Time_Orderd                               18:15
Time_Order_picked                         18:20
Weather conditions                        Sunny
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      29.000000
Name: 15294, dtype: object
