ID                                      0x9cd3
Delivery_person_ID             COIMBRES18DEL02
Delivery_person_Age                  26.000000
Delivery_person_Ratings               4.900000
Restaurant_latitude                  11.020910
Restaurant_longitude                 76.940432
Delivery_location_latitude           11.070910
Delivery_location_longitude          76.990432
Order_Date                          07-03-2022
Time_Orderd                              18:15
Time_Order_picked                        18:25
Weather conditions                  Sandstorms
Road_traffic_density                    Medium
Vehicle_condition                            1
Type_of_order                           Buffet
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     28.000000
Name: 2410, dtype: object
