ID                                    0xc2f4
Delivery_person_ID             AGRRES02DEL03
Delivery_person_Age                    30.00
Delivery_person_Ratings                 5.00
Restaurant_latitude                     0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.03
Delivery_location_longitude             0.03
Order_Date                        13-02-2022
Time_Orderd                            19:45
Time_Order_picked                      19:60
Weather conditions                     Sunny
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                     0.00
Festival                                  No
City                           Metropolitian
Time_taken (min)                       25.00
Name: 42459, dtype: object
