ID                                       0x9cc6
Delivery_person_ID             COIMBRES010DEL01
Delivery_person_Age                   39.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   11.003008
Restaurant_longitude                  76.975440
Delivery_location_latitude            11.113008
Delivery_location_longitude           77.085440
Order_Date                           14-03-2022
Time_Orderd                               23:45
Time_Order_picked                         23:55
Weather conditions                       Stormy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                      motorcycle
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      15.000000
Name: 25081, dtype: object
