ID                                     0x1cea
Delivery_person_ID             PUNERES09DEL01
Delivery_person_Age                 37.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 18.536562
Restaurant_longitude                73.896485
Delivery_location_latitude          18.546562
Delivery_location_longitude         73.906485
Order_Date                         11-03-2022
Time_Orderd                              8:45
Time_Order_picked                        8:50
Weather conditions                 Sandstorms
Road_traffic_density                      Low
Vehicle_condition                           2
Type_of_order                          Buffet
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    25.000000
Name: 29088, dtype: object
