ID                                    0xbd39
Delivery_person_ID             VADRES05DEL01
Delivery_person_Age                24.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                22.310526
Restaurant_longitude               73.170937
Delivery_location_latitude         22.380526
Delivery_location_longitude        73.240937
Order_Date                        25-03-2022
Time_Orderd                            20:25
Time_Order_picked                      20:40
Weather conditions                     Windy
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                                     NaN
Time_taken (min)                   15.000000
Name: 12218, dtype: object
