ID                                       0xda6a
Delivery_person_ID                DEHRES20DEL01
Delivery_person_Age                       38.00
Delivery_person_Ratings                    3.70
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.11
Delivery_location_longitude                0.11
Order_Date                           12-02-2022
Time_Orderd                               20:20
Time_Order_picked                         20:35
Weather conditions                   Sandstorms
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                        3.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          44.00
Name: 3587, dtype: object
